Station,Date,Time,Wind Spd (mph),Temp (°F),RH (%),Solar Rad (W/m2),Pressure (mb)
Stanford Met Tower,8/24/26,2315,0.3,60.7,88,0,1018.9
Stanford Met Tower,8/24/26,2300,0.2,61.3,85,0,1018.9
Stanford Met Tower,8/24/26,2245,0,61.8,84,0,1018.9
Stanford Met Tower,8/24/26,2230,2.1,62.4,82,0,1018.8
Stanford Met Tower,8/24/26,2215,3.8,62.8,82,0,1018.6
Stanford Met Tower,8/24/26,2200,3.2,62.2,82,0,1018.5
Stanford Met Tower,8/24/26,2145,0.3,61.8,84,0,1018.4
Stanford Met Tower,8/24/26,2130,1.3,62.3,83,0,1018.2
Stanford Met Tower,8/24/26,2115,0.3,63.7,84,0,1018
Stanford Met Tower,8/24/26,2100,0.1,64.1,78,0,1017.8
Stanford Met Tower,8/24/26,2045,2.7,65.3,77,0,1017.5
Stanford Met Tower,8/24/26,2030,3.1,65.5,79,0,1017.2
Stanford Met Tower,8/24/26,2015,3.3,66.2,79,0,1016.9
Stanford Met Tower,8/24/26,2000,3.1,66.8,77,3,1016.6
Stanford Met Tower,8/24/26,1945,2.9,67.4,76,8,1016.4
Stanford Met Tower,8/24/26,1930,3.6,67.9,76,20,1016.2
Stanford Met Tower,8/24/26,1915,3.8,69.3,72,89,1016
Stanford Met Tower,8/24/26,1900,4.4,69.9,72,135,1016
Stanford Met Tower,8/24/26,1845,5.3,71.6,68,179,1015.9
Stanford Met Tower,8/24/26,1830,5,72.6,67,224,1015.8
Stanford Met Tower,8/24/26,1815,4.1,73.9,63,272,1015.6
Stanford Met Tower,8/24/26,1800,5.4,74.1,63,322,1015.4
Stanford Met Tower,8/24/26,1745,4.3,74.8,63,371,1015.2
Stanford Met Tower,8/24/26,1730,4,75.1,62,421,1015.1
Stanford Met Tower,8/24/26,1715,5.1,73.9,62,467,1015.2
Stanford Met Tower,8/24/26,1700,4.7,74.1,62,512,1015.3
Stanford Met Tower,8/24/26,1645,5.7,73.6,62,555,1015.1
Stanford Met Tower,8/24/26,1630,5.7,73.9,64,596,1015.1
Stanford Met Tower,8/24/26,1615,5.8,73.6,62,634,1015.1
Stanford Met Tower,8/24/26,1600,7.7,73.9,64,671,1015.1
Stanford Met Tower,8/24/26,1545,7.8,73.4,64,706,1015
Stanford Met Tower,8/24/26,1530,6.8,74.2,64,738,1014.8
Stanford Met Tower,8/24/26,1515,6.1,74.7,62,767,1014.7
Stanford Met Tower,8/24/26,1500,6.6,75,63,790,1014.7
Stanford Met Tower,8/24/26,1445,6.1,75.9,62,811,1014.8
Stanford Met Tower,8/24/26,1430,6.3,74.7,65,829,1015
Stanford Met Tower,8/24/26,1415,6,74,64,844,1015.1
Stanford Met Tower,8/24/26,1400,5.6,74.1,64,855,1015.2
Stanford Met Tower,8/24/26,1345,4.9,74.7,62,863,1015.3
Stanford Met Tower,8/24/26,1330,4.9,74.2,64,867,1015.4
Stanford Met Tower,8/24/26,1315,5.1,74,67,867,1015.6
Stanford Met Tower,8/24/26,1300,5.5,72.2,65,864,1015.7
Stanford Met Tower,8/24/26,1245,6.2,73.5,64,857,1015.6
Stanford Met Tower,8/24/26,1230,6.8,73.1,66,846,1015.8
Stanford Met Tower,8/24/26,1215,5.2,72.9,66,833,1015.9
Stanford Met Tower,8/24/26,1200,4.8,72.8,64,815,1016.2
Stanford Met Tower,8/24/26,1145,4.8,73.1,64,796,1016.1
Stanford Met Tower,8/24/26,1130,1.7,74.2,62,769,1016.1
Stanford Met Tower,8/24/26,1115,0.8,72.1,63,742,1016.3
Stanford Met Tower,8/24/26,1100,0.6,69.9,70,710,1016.5
Stanford Met Tower,8/24/26,1045,2,68.6,70,679,1016.7
Stanford Met Tower,8/24/26,1030,0.9,69.5,70,642,1016.7
Stanford Met Tower,8/24/26,1015,2.3,69.6,69,605,1016.8
Stanford Met Tower,8/24/26,1000,2.5,67.6,72,574,1017.1
Stanford Met Tower,8/24/26,0945,1.8,66.9,75,444,1017.1
Stanford Met Tower,8/24/26,0930,0.8,64.9,80,355,1017.1
Stanford Met Tower,8/24/26,0915,1,64.4,82,287,1017.1
Stanford Met Tower,8/24/26,0900,1.5,63,86,206,1017.1
Stanford Met Tower,8/24/26,0845,0.9,62.9,86,140,1017.2
Stanford Met Tower,8/24/26,0830,1.7,62.3,87,117,1017.1
Stanford Met Tower,8/24/26,0815,2.7,62,88,85,1017
Stanford Met Tower,8/24/26,0800,4.1,61.5,90,54,1016.9
Stanford Met Tower,8/24/26,0745,0.8,61.3,93,56,1016.8
Stanford Met Tower,8/24/26,0730,0.6,60.9,94,38,1016.9
Stanford Met Tower,8/24/26,0715,0.2,60.3,95,11,1016.8
Stanford Met Tower,8/24/26,0700,0.5,60,95,7,1016.6
Stanford Met Tower,8/24/26,0645,0.5,59.6,96,3,1016.4
Stanford Met Tower,8/24/26,0630,0.3,58.8,95,1,1016.4
Stanford Met Tower,8/24/26,0615,0.2,57.9,95,0,1016.2
Stanford Met Tower,8/24/26,0600,0.2,57.5,95,0,1016
Stanford Met Tower,8/24/26,0545,0.3,57.3,96,0,1015.9
Stanford Met Tower,8/24/26,0530,0.2,56.3,95,0,1015.9
Stanford Met Tower,8/24/26,0515,2.5,56.3,95,0,1015.8
Stanford Met Tower,8/24/26,0500,2.5,56,95,0,1015.9
Stanford Met Tower,8/24/26,0445,2,56.7,95,0,1015.8
Stanford Met Tower,8/24/26,0430,0.1,56.2,96,0,1015.7
Stanford Met Tower,8/24/26,0415,0.1,56.4,95,0,1015.6
Stanford Met Tower,8/24/26,0400,0.3,56.7,95,0,1015.6
Stanford Met Tower,8/24/26,0345,1.2,56.7,95,0,1015.5
Stanford Met Tower,8/24/26,0330,0.6,57.3,95,0,1015.4
Stanford Met Tower,8/24/26,0315,0,57.6,95,0,1015.3
Stanford Met Tower,8/24/26,0300,3.2,57.5,95,0,1015.3
Stanford Met Tower,8/24/26,0245,3.8,57.6,96,0,1015.3
Stanford Met Tower,8/24/26,0230,0.5,57.2,96,0,1015.4
Stanford Met Tower,8/24/26,0215,0.1,57.7,96,0,1015.4
Stanford Met Tower,8/24/26,0200,0,57.6,96,0,1015.4
Stanford Met Tower,8/24/26,0145,0,57.7,95,0,1015.4
Stanford Met Tower,8/24/26,0130,0,58.3,94,0,1015.5
Stanford Met Tower,8/24/26,0115,0,58.7,94,0,1015.5
Stanford Met Tower,8/24/26,0100,0,59.1,93,0,1015.5
Stanford Met Tower,8/24/26,0045,0,60.1,93,0,1015.5
Stanford Met Tower,8/24/26,0030,0,60.7,92,0,1015.4
Stanford Met Tower,8/24/26,0015,0,60.8,92,0,1015.4
Stanford Met Tower,8/24/26,0000,0.1,60.8,90,0,1015.4
Stanford Met Tower,8/23/26,2345,0.5,61.8,88,0,1015.3
Stanford Met Tower,8/23/26,2330,0,61.9,87,0,1015.3
Stanford Met Tower,8/23/26,2315,0,62.3,86,0,1015.3
Stanford Met Tower,8/23/26,2300,0,63.2,84,0,1015.2
Stanford Met Tower,8/23/26,2245,0,63.8,81,0,1015.2
Stanford Met Tower,8/23/26,2230,0,64,80,0,1015.1
Stanford Met Tower,8/23/26,2215,0,64.6,78,0,1015
Stanford Met Tower,8/23/26,2200,0,64.9,77,0,1015
Stanford Met Tower,8/23/26,2145,0.1,65.8,77,0,1014.8
Stanford Met Tower,8/23/26,2130,0.6,66.4,76,0,1014.6
Stanford Met Tower,8/23/26,2115,1.9,66.7,74,0,1014.4
Stanford Met Tower,8/23/26,2100,4.2,67,72,0,1014.3
Stanford Met Tower,8/23/26,2045,2.8,68.5,72,0,1013.9
Stanford Met Tower,8/23/26,2030,3.7,69.2,68,0,1013.6
Stanford Met Tower,8/23/26,2015,3.6,69.6,67,0,1013.3
Stanford Met Tower,8/23/26,2000,5.3,70.2,69,3,1013.1
Stanford Met Tower,8/23/26,1945,5.1,71.8,67,14,1012.9
Stanford Met Tower,8/23/26,1930,5.1,73,65,23,1012.7
Stanford Met Tower,8/23/26,1915,4.2,74,64,66,1012.5
Stanford Met Tower,8/23/26,1900,3.8,76.2,62,159,1012.3
Stanford Met Tower,8/23/26,1845,3.6,77.8,58,198,1012.1
Stanford Met Tower,8/23/26,1830,2,78.7,55,286,1012.1
Stanford Met Tower,8/23/26,1815,3.1,78.3,55,326,1012.1
Stanford Met Tower,8/23/26,1800,2.7,79.2,54,372,1012.1
Stanford Met Tower,8/23/26,1745,4.9,78.6,54,363,1012.1
Stanford Met Tower,8/23/26,1730,4.2,79.2,53,352,1012
Stanford Met Tower,8/23/26,1715,5.1,80,51,400,1011.9
Stanford Met Tower,8/23/26,1700,6.2,81.3,48,455,1011.8
Stanford Met Tower,8/23/26,1645,4.9,82.1,47,334,1011.8
Stanford Met Tower,8/23/26,1630,4.6,83.3,46,589,1011.8
Stanford Met Tower,8/23/26,1615,3.4,83.5,46,603,1011.9
Stanford Met Tower,8/23/26,1600,3.4,83.5,51,623,1011.8
Stanford Met Tower,8/23/26,1545,4.1,83.3,46,555,1011.9
Stanford Met Tower,8/23/26,1530,4.5,82.8,48,652,1011.9
Stanford Met Tower,8/23/26,1515,3.8,82.3,52,701,1012
Stanford Met Tower,8/23/26,1500,3.9,82.5,50,730,1011.9
Stanford Met Tower,8/23/26,1445,3.9,82.9,49,815,1012
Stanford Met Tower,8/23/26,1430,3.9,83.2,48,831,1012.1
Stanford Met Tower,8/23/26,1415,3.3,82.5,49,857,1012.4
Stanford Met Tower,8/23/26,1400,3.5,81.6,49,838,1012.6
Stanford Met Tower,8/23/26,1345,2.4,81.5,51,850,1012.7
Stanford Met Tower,8/23/26,1330,2.5,80.9,53,888,1012.9
Stanford Met Tower,8/23/26,1315,2.9,79.3,55,850,1013.2
Stanford Met Tower,8/23/26,1300,2.7,78.9,58,812,1013.5
Stanford Met Tower,8/23/26,1245,3.5,77.9,54,770,1013.7
Stanford Met Tower,8/23/26,1230,4,76,59,756,1013.9
Stanford Met Tower,8/23/26,1215,3.6,76.3,60,797,1014.2
Stanford Met Tower,8/23/26,1200,3.3,75.9,63,834,1014.4
Stanford Met Tower,8/23/26,1145,3.2,74.7,61,794,1014.6
Stanford Met Tower,8/23/26,1130,1,76.2,57,741,1014.7
Stanford Met Tower,8/23/26,1115,0.9,74.6,57,714,1015
Stanford Met Tower,8/23/26,1100,1.8,72.2,62,710,1015.2
Stanford Met Tower,8/23/26,1045,0.4,72.1,62,686,1015.3
Stanford Met Tower,8/23/26,1030,0.5,70.7,67,669,1015.6
Stanford Met Tower,8/23/26,1015,1.1,68.9,70,649,1015.7
Stanford Met Tower,8/23/26,1000,0.6,67.6,73,569,1016
Stanford Met Tower,8/23/26,0945,1,67,76,442,1016.2
Stanford Met Tower,8/23/26,0930,0.8,65.4,79,407,1016.5
Stanford Met Tower,8/23/26,0915,1.5,65.9,78,407,1016.6
Stanford Met Tower,8/23/26,0900,1.5,64.8,80,329,1016.8
Stanford Met Tower,8/23/26,0845,1.4,63.7,84,261,1016.9
Stanford Met Tower,8/23/26,0830,0.1,61.9,88,222,1016.9
Stanford Met Tower,8/23/26,0815,0.4,60,91,219,1017
Stanford Met Tower,8/23/26,0800,0,58.1,96,179,1017.1
Stanford Met Tower,8/23/26,0745,0,56,97,122,1017.1
Stanford Met Tower,8/23/26,0730,0.6,54.7,97,63,1017.1
Stanford Met Tower,8/23/26,0715,1.2,54.1,97,51,1017
Stanford Met Tower,8/23/26,0700,0.6,53.2,96,38,1016.9
Stanford Met Tower,8/23/26,0645,2.4,52.8,96,9,1016.9
Stanford Met Tower,8/23/26,0630,0,53.5,96,2,1016.8
Stanford Met Tower,8/23/26,0615,0.2,53.6,95,0,1016.6
Stanford Met Tower,8/23/26,0600,0,53.8,95,0,1016.5
Stanford Met Tower,8/23/26,0545,0,53.5,94,0,1016.4
Stanford Met Tower,8/23/26,0530,3.2,54.1,94,0,1016.4
Stanford Met Tower,8/23/26,0515,4.5,54.3,94,0,1016.3
Stanford Met Tower,8/23/26,0500,0.4,54.4,96,0,1016.4
Stanford Met Tower,8/23/26,0445,1.4,54.2,95,0,1016.3
Stanford Met Tower,8/23/26,0430,4.5,54.2,94,0,1016.5
Stanford Met Tower,8/23/26,0415,2.8,54.7,95,0,1016.6
Stanford Met Tower,8/23/26,0400,2.6,54.4,94,0,1016.6
Stanford Met Tower,8/23/26,0345,3,54.7,93,0,1016.6
Stanford Met Tower,8/23/26,0330,3.3,54.9,93,0,1016.5
Stanford Met Tower,8/23/26,0315,2.8,55,93,0,1016.5
Stanford Met Tower,8/23/26,0300,4.9,55.7,93,0,1016.5
Stanford Met Tower,8/23/26,0245,5.8,55.8,92,0,1016.5
Stanford Met Tower,8/23/26,0230,3.5,56.3,93,0,1016.6
Stanford Met Tower,8/23/26,0215,3.3,56.3,93,0,1016.7
Stanford Met Tower,8/23/26,0200,4.2,56.7,92,0,1016.8
Stanford Met Tower,8/23/26,0145,4.8,56.9,92,0,1016.9
Stanford Met Tower,8/23/26,0130,2.9,56.6,92,0,1017
Stanford Met Tower,8/23/26,0115,0.2,56.9,91,0,1017
Stanford Met Tower,8/23/26,0100,3,57.7,92,0,1017
Stanford Met Tower,8/23/26,0045,3.9,58,91,0,1017
Stanford Met Tower,8/23/26,0030,4.9,58.8,91,0,1017.1
Stanford Met Tower,8/23/26,0015,4.5,58.7,92,0,1017.3
Stanford Met Tower,8/23/26,0000,2.3,59.5,90,0,1017.2
Stanford Met Tower,8/22/26,2345,1.1,60,89,0,1017.3
Stanford Met Tower,8/22/26,2330,0.5,60.6,89,0,1017.4
Stanford Met Tower,8/22/26,2315,1.3,60.8,86,0,1017.5
Stanford Met Tower,8/22/26,2300,0.5,61.6,84,0,1017.6
Stanford Met Tower,8/22/26,2245,0.8,62.3,83,0,1017.7
Stanford Met Tower,8/22/26,2230,2.3,63,79,0,1017.7
Stanford Met Tower,8/22/26,2215,2.1,63.5,77,0,1017.7
Stanford Met Tower,8/22/26,2200,0.8,63.9,79,0,1017.7
Stanford Met Tower,8/22/26,2145,1.8,64.6,79,0,1017.5
Stanford Met Tower,8/22/26,2130,1.6,65.2,78,0,1017.4
Stanford Met Tower,8/22/26,2115,2.7,67,73,0,1017.4
Stanford Met Tower,8/22/26,2100,3.6,67.9,70,0,1017.3
Stanford Met Tower,8/22/26,2045,4.1,69.4,66,0,1017.1
Stanford Met Tower,8/22/26,2030,3.5,70.1,62,0,1017
Stanford Met Tower,8/22/26,2015,1.9,71.4,59,1,1016.7
Stanford Met Tower,8/22/26,2000,1.3,72.6,56,4,1016.4
Stanford Met Tower,8/22/26,1945,2.8,73.8,52,10,1016.3
Stanford Met Tower,8/22/26,1930,2.6,74.6,52,44,1016.2
Stanford Met Tower,8/22/26,1915,1.9,75.9,47,111,1016.2
Stanford Met Tower,8/22/26,1900,2.4,75.6,49,160,1016.2
Stanford Met Tower,8/22/26,1845,3.1,75.8,51,213,1016.3
Stanford Met Tower,8/22/26,1830,4.2,76,50,261,1016.3
Stanford Met Tower,8/22/26,1815,4.2,76.3,48,311,1016.2
Stanford Met Tower,8/22/26,1800,3.1,77.2,51,350,1016.1
Stanford Met Tower,8/22/26,1745,2.1,77.5,51,396,1016.2
Stanford Met Tower,8/22/26,1730,2.9,77.3,52,438,1016.2
Stanford Met Tower,8/22/26,1715,3.3,76.6,55,516,1016.2
Stanford Met Tower,8/22/26,1700,4.2,76.2,56,510,1016.3
Stanford Met Tower,8/22/26,1645,4.1,76.9,58,574,1016.2
Stanford Met Tower,8/22/26,1630,3.8,76.5,55,616,1016.3
Stanford Met Tower,8/22/26,1615,3.5,76.2,56,668,1016.4
Stanford Met Tower,8/22/26,1600,5,76.6,54,710,1016.5
Stanford Met Tower,8/22/26,1545,3.7,76.3,55,736,1016.5
Stanford Met Tower,8/22/26,1530,2.9,76.1,58,746,1016.6
Stanford Met Tower,8/22/26,1515,4.3,75.9,55,770,1016.7
Stanford Met Tower,8/22/26,1500,4.4,74.8,58,788,1016.9
Stanford Met Tower,8/22/26,1445,5.6,73.8,58,827,1017
Stanford Met Tower,8/22/26,1430,5.9,74,58,847,1017.1
Stanford Met Tower,8/22/26,1415,5.8,72.1,62,861,1017.3
Stanford Met Tower,8/22/26,1400,6.9,72.2,62,875,1017.5
Stanford Met Tower,8/22/26,1345,5.6,71.8,63,878,1017.6
Stanford Met Tower,8/22/26,1330,6.6,71.7,64,877,1017.8
Stanford Met Tower,8/22/26,1315,5.7,71.3,64,875,1018
Stanford Met Tower,8/22/26,1300,5.6,71,65,862,1018.2
Stanford Met Tower,8/22/26,1245,4.7,69.9,68,865,1018.5
Stanford Met Tower,8/22/26,1230,4.9,70,67,851,1018.9
Stanford Met Tower,8/22/26,1215,3.9,68.6,70,845,1019
Stanford Met Tower,8/22/26,1200,5.5,68.9,68,825,1019.2
Stanford Met Tower,8/22/26,1145,5.5,68.2,69,805,1019.4
Stanford Met Tower,8/22/26,1130,6.2,67.9,70,781,1019.5
Stanford Met Tower,8/22/26,1115,7.2,68.8,67,748,1019.5
Stanford Met Tower,8/22/26,1100,4.1,68.6,66,724,1019.5
Stanford Met Tower,8/22/26,1045,1.2,70.1,63,680,1019.6
Stanford Met Tower,8/22/26,1030,1.1,68,67,658,1019.9
Stanford Met Tower,8/22/26,1015,1.9,67.4,66,604,1020.1
Stanford Met Tower,8/22/26,1000,0.8,66.8,66,577,1020.1
Stanford Met Tower,8/22/26,0945,0.6,66.5,69,533,1020.3
Stanford Met Tower,8/22/26,0930,1,65,73,488,1020.5
Stanford Met Tower,8/22/26,0915,0.3,64.5,74,434,1020.5
Stanford Met Tower,8/22/26,0900,0.2,63.6,76,393,1020.8
Stanford Met Tower,8/22/26,0845,0.5,63.9,76,345,1020.8
Stanford Met Tower,8/22/26,0830,0.3,62.1,81,296,1021
Stanford Met Tower,8/22/26,0815,0,59.7,86,246,1021.1
Stanford Met Tower,8/22/26,0800,0.1,57.7,90,199,1021.2
Stanford Met Tower,8/22/26,0745,0.3,56.3,93,154,1021.2
Stanford Met Tower,8/22/26,0730,1.7,54.7,94,114,1021.2
Stanford Met Tower,8/22/26,0715,2.3,53.5,95,72,1021
Stanford Met Tower,8/22/26,0700,3,52.9,96,31,1021
Stanford Met Tower,8/22/26,0645,2.5,52.2,97,7,1020.9
Stanford Met Tower,8/22/26,0630,1.2,52.3,96,1,1020.8
Stanford Met Tower,8/22/26,0615,1.2,52.1,96,0,1020.7
Stanford Met Tower,8/22/26,0600,4,52.7,96,0,1020.6
Stanford Met Tower,8/22/26,0545,3.7,52.7,96,0,1020.6
Stanford Met Tower,8/22/26,0530,3.2,52.8,95,0,1020.6
Stanford Met Tower,8/22/26,0515,1.7,53.2,95,0,1020.5
Stanford Met Tower,8/22/26,0500,3,53.2,94,0,1020.4
Stanford Met Tower,8/22/26,0445,2.8,54,94,0,1020.2
Stanford Met Tower,8/22/26,0430,4.1,54,93,0,1020.1
Stanford Met Tower,8/22/26,0415,4.6,54.3,92,0,1020.1
Stanford Met Tower,8/22/26,0400,4.4,55.3,93,0,1020.1
Stanford Met Tower,8/22/26,0345,4.2,54.6,93,0,1020.1
Stanford Met Tower,8/22/26,0330,1.8,54.7,93,0,1020
Stanford Met Tower,8/22/26,0315,0,55,92,0,1020
Stanford Met Tower,8/22/26,0300,0.6,55,93,0,1019.9
Stanford Met Tower,8/22/26,0245,0,55.5,92,0,1019.9
Stanford Met Tower,8/22/26,0230,0.3,55.2,91,0,1019.8
Stanford Met Tower,8/22/26,0215,1,56.3,89,0,1019.9
Stanford Met Tower,8/22/26,0200,0.1,56.6,91,0,1019.8
Stanford Met Tower,8/22/26,0145,0.2,56.1,91,0,1020
Stanford Met Tower,8/22/26,0130,0,56.6,90,0,1020.1
Stanford Met Tower,8/22/26,0115,0.6,56.3,90,0,1020
Stanford Met Tower,8/22/26,0100,2.2,56.4,89,0,1020.1
Stanford Met Tower,8/22/26,0045,2.7,57.5,86,0,1020.2
Stanford Met Tower,8/22/26,0030,1.1,57.3,88,0,1020.3
Stanford Met Tower,8/22/26,0015,0,57.8,86,0,1020.4
Stanford Met Tower,8/22/26,0000,0,58.7,84,0,1020.3
Stanford Met Tower,8/21/26,2345,0,59.8,80,0,1020.1
Stanford Met Tower,8/21/26,2330,0.5,60.5,78,0,1020.2
Stanford Met Tower,8/21/26,2315,1.4,60.6,78,0,1020.1
Stanford Met Tower,8/21/26,2300,0.1,60.7,79,0,1020.1
Stanford Met Tower,8/21/26,2245,0,61,78,0,1020.1
Stanford Met Tower,8/21/26,2230,0.3,61.4,76,0,1020.1
Stanford Met Tower,8/21/26,2215,0,61.5,77,0,1020
Stanford Met Tower,8/21/26,2200,0.2,62,76,0,1019.9
Stanford Met Tower,8/21/26,2145,0.1,62.5,74,0,1019.7
Stanford Met Tower,8/21/26,2130,0.6,62.9,72,0,1019.7
Stanford Met Tower,8/21/26,2115,1.9,63.5,70,0,1019.6
Stanford Met Tower,8/21/26,2100,0.9,63.9,69,0,1019.3
Stanford Met Tower,8/21/26,2045,1.5,64.2,68,0,1019
Stanford Met Tower,8/21/26,2030,4.7,64.9,66,0,1018.8
Stanford Met Tower,8/21/26,2015,4.5,66.2,62,1,1018.6
Stanford Met Tower,8/21/26,2000,0.3,67.5,62,4,1018.3
Stanford Met Tower,8/21/26,1945,0,68.3,60,11,1018.1
Stanford Met Tower,8/21/26,1930,0.5,68.8,60,43,1017.9
Stanford Met Tower,8/21/26,1915,3.4,69.3,60,103,1017.9
Stanford Met Tower,8/21/26,1900,3.7,70,59,146,1017.7
Stanford Met Tower,8/21/26,1845,3.3,70.5,59,194,1017.7
Stanford Met Tower,8/21/26,1830,7.1,70.1,60,240,1017.6
Stanford Met Tower,8/21/26,1815,5.9,71.4,57,282,1017.5
Stanford Met Tower,8/21/26,1800,7.8,71.9,56,250,1017.4
Stanford Met Tower,8/21/26,1745,8,73,52,355,1017.1
Stanford Met Tower,8/21/26,1730,7.4,73.8,53,428,1017
Stanford Met Tower,8/21/26,1715,6.8,74.5,52,471,1016.9
Stanford Met Tower,8/21/26,1700,6.4,75.6,52,514,1016.9
Stanford Met Tower,8/21/26,1645,6.9,75.5,55,557,1016.9
Stanford Met Tower,8/21/26,1630,6.8,75.4,53,598,1016.9
Stanford Met Tower,8/21/26,1615,6.6,76.1,54,638,1016.9
Stanford Met Tower,8/21/26,1600,4.9,76,55,675,1016.8
Stanford Met Tower,8/21/26,1545,6.1,76.2,57,709,1016.9
Stanford Met Tower,8/21/26,1530,4.5,75,58,741,1016.8
Stanford Met Tower,8/21/26,1515,5.7,74.3,59,770,1016.9
Stanford Met Tower,8/21/26,1500,5.8,74.7,58,792,1017
Stanford Met Tower,8/21/26,1445,4.5,73.8,61,812,1017.2
Stanford Met Tower,8/21/26,1430,4.9,73.8,62,829,1017.4
Stanford Met Tower,8/21/26,1415,6.4,72.5,62,844,1017.5
Stanford Met Tower,8/21/26,1400,6.9,71.4,65,855,1017.7
Stanford Met Tower,8/21/26,1345,6.7,72.2,63,862,1017.9
Stanford Met Tower,8/21/26,1330,5.7,71.6,69,865,1017.8
Stanford Met Tower,8/21/26,1315,6.2,71,66,867,1017.9
Stanford Met Tower,8/21/26,1300,6.3,69.9,68,816,1018.1
Stanford Met Tower,8/21/26,1245,5.6,71.6,65,867,1018.1
Stanford Met Tower,8/21/26,1230,5.5,71.4,66,849,1018.2
Stanford Met Tower,8/21/26,1215,4.6,69.9,71,831,1018.4
Stanford Met Tower,8/21/26,1200,4,70.6,66,821,1018.7
Stanford Met Tower,8/21/26,1145,3.5,71,64,802,1018.8
Stanford Met Tower,8/21/26,1130,1,70.1,65,780,1019
Stanford Met Tower,8/21/26,1115,1.2,69.2,65,756,1019.2
Stanford Met Tower,8/21/26,1100,0.9,67,72,726,1019.4
Stanford Met Tower,8/21/26,1045,1.4,66.7,72,693,1019.5
Stanford Met Tower,8/21/26,1030,1.6,64.5,74,646,1019.8
Stanford Met Tower,8/21/26,1015,1,64.7,76,648,1019.9
Stanford Met Tower,8/21/26,1000,2.4,61.8,81,450,1020.1
Stanford Met Tower,8/21/26,0945,1.5,61.8,83,397,1020
Stanford Met Tower,8/21/26,0930,0.1,61,83,252,1020
Stanford Met Tower,8/21/26,0915,0.7,60.3,86,179,1020.1
Stanford Met Tower,8/21/26,0900,1.1,60.2,86,102,1020.2
Stanford Met Tower,8/21/26,0845,1,59.9,86,131,1020.2
Stanford Met Tower,8/21/26,0830,1.4,60.1,87,129,1020.2
Stanford Met Tower,8/21/26,0815,3.1,59.4,87,45,1020.1
